MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:104565,Cdkn1b,cyclin dependent kinase inhibitor 1B,6,,G1/S transition of mitotic cell cycle,,,IBA,PTN002567658 ,J:265628 
MGI:104565,Cdkn1b,cyclin dependent kinase inhibitor 1B,6,,G1/S transition of mitotic cell cycle,,,IDA,,J:28743 
MGI:104565,Cdkn1b,cyclin dependent kinase inhibitor 1B,6,,negative regulation of mitotic cell cycle,,,IBA,PTN002567652 ,J:265628 
MGI:104565,Cdkn1b,cyclin dependent kinase inhibitor 1B,6,,regulation of exit from mitosis,,,IGI,MGI:104564 ,J:50769 
MGI:104565,Cdkn1b,cyclin dependent kinase inhibitor 1B,6,,regulation of G1/S transition of mitotic cell cycle,,,ISO,P46527 ,J:164563 
MGI:104565,Cdkn1b,cyclin dependent kinase inhibitor 1B,6,,regulation of mitotic cell cycle,,,IDA,,J:19218 
MGI:104564,Cdkn1c,cyclin dependent kinase inhibitor 1C,7,,negative regulation of mitotic cell cycle,,,IBA,PTN002567652 ,J:265628 
MGI:104564,Cdkn1c,cyclin dependent kinase inhibitor 1C,7,,regulation of exit from mitosis,,,IGI,MGI:104565 ,J:50769 
MGI:104738,Cdkn2a,cyclin dependent kinase inhibitor 2A,4,,regulation of G1/S transition of mitotic cell cycle,,,ISO,P42771 ,J:164563 
MGI:104738,Cdkn2a,cyclin dependent kinase inhibitor 2A,4,,regulation of G2/M transition of mitotic cell cycle,,,ISO,Q8N726 ,J:164563 
MGI:104737,Cdkn2b,cyclin dependent kinase inhibitor 2B,4,,negative regulation of G1/S transition of mitotic cell cycle,,,IMP,,J:191206 
MGI:104737,Cdkn2b,cyclin dependent kinase inhibitor 2B,4,,regulation of G1/S transition of mitotic cell cycle,,,IBA,PTN007779263 ,J:265628 
MGI:105388,Cdkn2c,cyclin dependent kinase inhibitor 2C,4,,regulation of G1/S transition of mitotic cell cycle,,,ISO,P42773 ,J:164563 
MGI:105387,Cdkn2d,cyclin dependent kinase inhibitor 2D,9,,regulation of G1/S transition of mitotic cell cycle,,,ISO,P55273 ,J:164563 
MGI:1914427,Cdt1,chromatin licensing and DNA replication factor 1,8,,attachment of mitotic spindle microtubules to kinetochore,,,ISO,Q9H211 ,J:164563 
MGI:1914427,Cdt1,chromatin licensing and DNA replication factor 1,8,,mitotic cell cycle,,,IBA,PTN002008627 ,J:265628 
MGI:88375,Cenpa,centromere protein A,5,,establishment of mitotic spindle orientation,,,ISO,P49450 ,J:164563 
MGI:88375,Cenpa,centromere protein A,5,,mitotic cytokinesis,,,ISO,P49450 ,J:164563 
MGI:99700,Cenpc1,centromere protein C1,5,,attachment of mitotic spindle microtubules to kinetochore,,,IBA,PTN000422898 ,J:265628 
MGI:99700,Cenpc1,centromere protein C1,5,,mitotic cell cycle,,,ISO,Q03188 ,J:164563 
MGI:1098230,Cenpe,centromere protein E,3,,attachment of mitotic spindle microtubules to kinetochore,,,ISO,Q02224 ,J:164563 
MGI:1098230,Cenpe,centromere protein E,3,,lateral attachment of mitotic spindle microtubules to kinetochore,,,ISO,Q02224 ,J:164563 
MGI:1098230,Cenpe,centromere protein E,3,,microtubule plus-end directed mitotic chromosome migration,,,ISO,Q02224 ,J:164563 
MGI:1098230,Cenpe,centromere protein E,3,,mitotic cell cycle,,,IBA,PTN001947122 ,J:265628 
MGI:1098230,Cenpe,centromere protein E,3,,mitotic cell cycle,,,ISO,Q02224 ,J:164563 
MGI:1098230,Cenpe,centromere protein E,3,,mitotic chromosome movement towards spindle pole,,,ISO,Q02224 ,J:164563 
MGI:1098230,Cenpe,centromere protein E,3,,mitotic metaphase chromosome alignment,,,ISO,Q02224 ,J:164563 
MGI:1098230,Cenpe,centromere protein E,3,,mitotic spindle assembly checkpoint signaling,,,IMP,,J:85203 
MGI:1098230,Cenpe,centromere protein E,3,,mitotic spindle organization,,,ISO,Q02224 ,J:164563 
MGI:1098230,Cenpe,centromere protein E,3,,positive regulation of mitotic metaphase/anaphase transition,,,IMP,,J:85203 
MGI:1098230,Cenpe,centromere protein E,3,,regulation of mitotic metaphase/anaphase transition,,,ISO,Q02224 ,J:164563 
MGI:1098230,Cenpe,centromere protein E,3,,regulation of mitotic nuclear division,,,IMP,,J:81046 
MGI:1313302,Cenpf,centromere protein F,1,,mitotic cell cycle,,,IBA,PTN000429985 ,J:265628 
MGI:1313302,Cenpf,centromere protein F,1,,mitotic cell cycle,,,ISO,P49454 ,J:164563 
MGI:1313302,Cenpf,centromere protein F,1,,regulation of G2/M transition of mitotic cell cycle,,,IBA,PTN000429985 ,J:265628 
MGI:1313302,Cenpf,centromere protein F,1,,regulation of G2/M transition of mitotic cell cycle,,,ISO,P49454 ,J:164563 
MGI:1349448,Cenph,centromere protein H,13,,mitotic cell cycle,,,ISO,AB055783 ,J:71073 
MGI:1349448,Cenph,centromere protein H,13,,mitotic spindle organization,,,IBA,PTN008296591 ,J:265628 
MGI:2147897,Cenpi,centromere protein I,X,,mitotic sister chromatid segregation,,,IBA,PTN008490877 ,J:265628 
MGI:2684927,Cenpj,centromere protein J,14,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,Q9HC77 ,J:164563 
MGI:2684927,Cenpj,centromere protein J,14,,regulation of mitotic spindle organization,,,NAS,,J:320164 
MGI:1926210,Cenpk,centromere protein K,13,,mitotic sister chromatid segregation,,,IBA,PTN001024583 ,J:265628 
MGI:2443939,Cenpt,centromere protein T,8,,mitotic cell cycle,,,IBA,PTN001028494 ,J:265628 
MGI:2443939,Cenpt,centromere protein T,8,,mitotic cell cycle,,,ISO,Q96BT3 ,J:164563 
MGI:1913561,Cenpw,centromere protein W,10,,mitotic cell cycle,,,IBA,PTN002166039 ,J:265628 
MGI:1913561,Cenpw,centromere protein W,10,,mitotic cell cycle,,,ISO,Q5EE01 ,J:164563 
MGI:1921357,Cep55,centrosomal protein 55,19,,midbody abscission,,,ISO,Q53EZ4 ,J:164563 
MGI:1921357,Cep55,centrosomal protein 55,19,,mitotic cytokinesis,,,IBA,PTN002839775 ,J:265628 
MGI:1921357,Cep55,centrosomal protein 55,19,,mitotic cytokinesis,,,ISO,Q53EZ4 ,J:73065 
MGI:1917262,Cep85,centrosomal protein 85,4,,regulation of mitotic centrosome separation,,,ISO,Q6P2H3 ,J:164563 
MGI:1921451,Cep97,centrosomal protein 97,16,,regulation of mitotic spindle assembly,,,ISO,Q8IW35 ,J:164563 
MGI:2680221,Cep126,centrosomal protein 126,9,,mitotic spindle organization,,,ISO,Q9P2H0 ,J:164563 
MGI:1918049,Cep192,centrosomal protein 192,18,,mitotic spindle assembly,,,IBA,PTN001815654 ,J:265628 
MGI:1918049,Cep192,centrosomal protein 192,18,,mitotic spindle assembly,,,ISO,Q8TEP8 ,J:164563 
MGI:1918049,Cep192,centrosomal protein 192,18,,mitotic spindle assembly checkpoint signaling,,,ISO,NP_115518 ,J:131391 
MGI:108084,Cep250,centrosomal protein 250,2,,mitotic cell cycle,,,ISO,Q9BV73 ,J:164563 
MGI:1347086,Cetn1,centrin 1,18,,mitotic cell cycle,,,IBA,PTN000549683 ,J:265628 
MGI:1347085,Cetn2,centrin 2,X,,mitotic cell cycle,,,IBA,PTN000549683 ,J:265628 
MGI:2677454,Cetn4,centrin 4,3,,mitotic cell cycle,,,IBA,PTN000549683 ,J:265628 
MGI:101757,Cfl1,"cofilin 1, non-muscle",19,,mitotic cytokinesis,,,IBA,PTN001375639 ,J:265628 
MGI:101757,Cfl1,"cofilin 1, non-muscle",19,,mitotic cytokinesis,,,IMP,,J:97332 
MGI:1196398,Champ1,chromosome alignment maintaining phosphoprotein 1,8,,attachment of mitotic spindle microtubules to kinetochore,,,IBA,PTN002204446 ,J:265628 
MGI:1196398,Champ1,chromosome alignment maintaining phosphoprotein 1,8,,attachment of mitotic spindle microtubules to kinetochore,,,ISO,Q96JM3 ,J:164563 
MGI:1202065,Chek1,checkpoint kinase 1,9,,G2/M transition of mitotic cell cycle,,,IMP,MGI:1926528 ,J:62919 
MGI:1202065,Chek1,checkpoint kinase 1,9,,mitotic cell cycle checkpoint signaling,,,IMP,MGI:1928818 ,J:62918 
MGI:1202065,Chek1,checkpoint kinase 1,9,,mitotic G2 DNA damage checkpoint signaling,,,ISO,O14757 ,J:164563 
MGI:1202065,Chek1,checkpoint kinase 1,9,,mitotic G2/M transition checkpoint,,,ISO,O14757 ,J:164563 
MGI:1202065,Chek1,checkpoint kinase 1,9,,negative regulation of G2/M transition of mitotic cell cycle,,,ISO,RGD:620545 ,J:155856 
MGI:1202065,Chek1,checkpoint kinase 1,9,,negative regulation of mitotic nuclear division,,,ISO,O14757 ,J:164563 
MGI:1202065,Chek1,checkpoint kinase 1,9,,regulation of mitotic centrosome separation,,,ISO,O14757 ,J:164563 
MGI:1355321,Chek2,checkpoint kinase 2,5,,G2/M transition of mitotic cell cycle,,,ISO,O96017 ,J:164563 
MGI:1355321,Chek2,checkpoint kinase 2,5,,mitotic DNA damage checkpoint signaling,,,IBA,PTN005196447 ,J:265628 
MGI:1355321,Chek2,checkpoint kinase 2,5,,mitotic intra-S DNA damage checkpoint signaling,,,ISO,O96017 ,J:164563 
MGI:1355321,Chek2,checkpoint kinase 2,5,,mitotic spindle assembly,,,ISO,O96017 ,J:164563 
MGI:2444898,Chfr,checkpoint with forkhead and ring finger domains,5,,mitotic cell cycle,,,IMP,MGI:3576266 ,J:97428 
MGI:2444898,Chfr,checkpoint with forkhead and ring finger domains,5,,mitotic cell cycle checkpoint signaling,,,IBA,PTN000412551 ,J:265628 
MGI:2444898,Chfr,checkpoint with forkhead and ring finger domains,5,,mitotic G2/M transition checkpoint,,,ISO,Q96EP1 ,J:164563 
MGI:1920159,Chmp1a,charged multivesicular body protein 1A,8,,midbody abscission,,,ISO,Q9HD42 ,J:164563 
MGI:1920159,Chmp1a,charged multivesicular body protein 1A,8,,mitotic chromosome condensation,,,ISO,Q9HD42 ,J:164563 
MGI:1920159,Chmp1a,charged multivesicular body protein 1A,8,,mitotic metaphase chromosome alignment,,,ISO,Q9HD42 ,J:164563 
MGI:1920159,Chmp1a,charged multivesicular body protein 1A,8,,regulation of mitotic spindle assembly,,,ISO,Q9HD42 ,J:164563 
MGI:1914314,Chmp1b,charged multivesicular body protein 1B,18,,midbody abscission,,,ISO,Q7LBR1 ,J:164563 
MGI:1914314,Chmp1b,charged multivesicular body protein 1B,18,,mitotic metaphase chromosome alignment,,,ISO,Q7LBR1 ,J:164563 
MGI:1914314,Chmp1b,charged multivesicular body protein 1B,18,,regulation of mitotic spindle assembly,,,ISO,Q7LBR1 ,J:164563 
MGI:1916203,Chmp2a,charged multivesicular body protein 2A,7,,exit from mitosis,,,ISO,O43633 ,J:164563 
MGI:1916203,Chmp2a,charged multivesicular body protein 2A,7,,midbody abscission,,,ISO,O43633 ,J:164563 
MGI:1916203,Chmp2a,charged multivesicular body protein 2A,7,,mitotic metaphase chromosome alignment,,,ISO,O43633 ,J:164563 
MGI:1916203,Chmp2a,charged multivesicular body protein 2A,7,,regulation of mitotic spindle assembly,,,ISO,O43633 ,J:164563 
MGI:1916192,Chmp2b,charged multivesicular body protein 2B,16,,midbody abscission,,,ISO,Q9UQN3 ,J:164563 
MGI:1916192,Chmp2b,charged multivesicular body protein 2B,16,,mitotic metaphase chromosome alignment,,,ISO,Q9UQN3 ,J:164563 
MGI:1916192,Chmp2b,charged multivesicular body protein 2B,16,,regulation of mitotic spindle assembly,,,ISO,Q9UQN3 ,J:164563 
MGI:1922858,Chmp4b,charged multivesicular body protein 4B,2,,exit from mitosis,,,ISO,Q9H444 ,J:164563 
MGI:1922858,Chmp4b,charged multivesicular body protein 4B,2,,midbody abscission,,,ISO,Q9H444 ,J:164563 
MGI:1922858,Chmp4b,charged multivesicular body protein 4B,2,,mitotic cytokinesis,,,ISO,Q9H444 ,J:164563 
MGI:1922858,Chmp4b,charged multivesicular body protein 4B,2,,mitotic metaphase chromosome alignment,,,ISO,Q9H444 ,J:164563 
MGI:1922858,Chmp4b,charged multivesicular body protein 4B,2,,regulation of mitotic spindle assembly,,,ISO,Q9H444 ,J:164563 
MGI:1913621,Chmp4c,charged multivesicular body protein 4C,3,,midbody abscission,,,ISO,Q96CF2 ,J:164563 
MGI:1913621,Chmp4c,charged multivesicular body protein 4C,3,,mitotic cytokinesis checkpoint signaling,,,ISO,Q96CF2 ,J:164563 
MGI:1913621,Chmp4c,charged multivesicular body protein 4C,3,,mitotic metaphase chromosome alignment,,,ISO,Q96CF2 ,J:164563 
MGI:1913621,Chmp4c,charged multivesicular body protein 4C,3,,regulation of mitotic spindle assembly,,,ISO,Q96CF2 ,J:164563 
MGI:1924209,Chmp5,charged multivesicular body protein 5,4,,midbody abscission,,,ISO,Q9NZZ3 ,J:164563 
MGI:1924209,Chmp5,charged multivesicular body protein 5,4,,mitotic metaphase chromosome alignment,,,ISO,Q9NZZ3 ,J:164563 
MGI:1924209,Chmp5,charged multivesicular body protein 5,4,,regulation of mitotic spindle assembly,,,ISO,Q9NZZ3 ,J:164563 
MGI:3583942,Chmp6,charged multivesicular body protein 6,11,,midbody abscission,,,ISO,Q96FZ7 ,J:164563 
MGI:3583942,Chmp6,charged multivesicular body protein 6,11,,mitotic metaphase chromosome alignment,,,ISO,Q96FZ7 ,J:164563 
MGI:3583942,Chmp6,charged multivesicular body protein 6,11,,regulation of mitotic spindle assembly,,,ISO,Q96FZ7 ,J:164563 
MGI:1913922,Chmp7,charged multivesicular body protein 7,14,,exit from mitosis,,,ISO,Q8WUX9 ,J:164563 
MGI:1913922,Chmp7,charged multivesicular body protein 7,14,,midbody abscission,,,ISO,Q8WUX9 ,J:164563 
MGI:1913922,Chmp7,charged multivesicular body protein 7,14,,mitotic metaphase chromosome alignment,,,ISO,Q8WUX9 ,J:164563 
MGI:1913922,Chmp7,charged multivesicular body protein 7,14,,regulation of mitotic spindle assembly,,,ISO,Q8WUX9 ,J:164563 
MGI:1344418,Cib1,calcium and integrin binding 1,7,,endomitotic cell cycle,,,ISO,Q99828 ,J:164563 
MGI:105313,Cit,citron,5,,G2/M transition of mitotic cell cycle,,,ISO,RGD:70878 ,J:155856 
MGI:105313,Cit,citron,5,,metaphase/anaphase transition of mitotic cell cycle,,,IMP,MGI:2447844 ,J:102082 
MGI:105313,Cit,citron,5,,mitotic cell cycle,,,IDA,,J:77297 
MGI:105313,Cit,citron,5,,mitotic cytokinesis,,,ISO,O14578 ,J:164563 
MGI:105313,Cit,citron,5,,mitotic sister chromatid segregation,,,IMP,MGI:2447844 ,J:102082 
MGI:1931797,Ckap2,cytoskeleton associated protein 2,8,,mitotic cytokinesis,,,ISO,Q8WWK9 ,J:73065 
MGI:1923036,Ckap5,cytoskeleton associated protein 5,2,,mitotic spindle organization,,,IBA,PTN000288762 ,J:265628 
MGI:1889208,Cks1b,CDC28 protein kinase 1b,3,,mitotic cell cycle phase transition,,,IGI,MGI:1913447 ,J:140237 
MGI:1889208,Cks1b,CDC28 protein kinase 1b,3,,regulation of mitotic cell cycle,,,IBA,PTN000602176 ,J:265628 
MGI:3643620,Cks1brt,"CDC28 protein kinase 1b, retrogene",8,,regulation of mitotic cell cycle,,,IBA,PTN000602176 ,J:265628 
MGI:1913447,Cks2,CDC28 protein kinase regulatory subunit 2,13,,mitotic cell cycle phase transition,,,IGI,MGI:1889208 ,J:140237 
MGI:1913447,Cks2,CDC28 protein kinase regulatory subunit 2,13,,regulation of mitotic cell cycle,,,IBA,PTN000602176 ,J:265628 
MGI:1923957,Clasp1,CLIP associating protein 1,1,,establishment of mitotic spindle localization,,,IBA,PTN008577564 ,J:265628 
MGI:1923957,Clasp1,CLIP associating protein 1,1,,establishment of mitotic spindle localization,,,ISO,Q7Z460 ,J:164563 
MGI:1923957,Clasp1,CLIP associating protein 1,1,,exit from mitosis,,,ISO,Q7Z460 ,J:164563 
MGI:1923957,Clasp1,CLIP associating protein 1,1,,mitotic spindle assembly,,,IBA,PTN000490606 ,J:265628 
MGI:1923957,Clasp1,CLIP associating protein 1,1,,mitotic spindle organization,,,ISO,Q7Z460 ,J:164563 
MGI:1923749,Clasp2,CLIP associating protein 2,9,,establishment of mitotic spindle localization,,,IBA,PTN008577564 ,J:265628 
MGI:1923749,Clasp2,CLIP associating protein 2,9,,exit from mitosis,,,ISO,O75122 ,J:164563 
MGI:1923749,Clasp2,CLIP associating protein 2,9,,mitotic spindle assembly,,,IBA,PTN000490606 ,J:265628 
MGI:1923749,Clasp2,CLIP associating protein 2,9,,mitotic spindle organization,,,ISO,O75122 ,J:164563 
MGI:2445153,Clspn,claspin,4,,mitotic DNA replication checkpoint signaling,,,IBA,PTN001801959 ,J:265628 
MGI:2445153,Clspn,claspin,4,,mitotic DNA replication checkpoint signaling,,,ISO,Q9HAW4 ,J:164563 
MGI:2445153,Clspn,claspin,4,,mitotic G2 DNA damage checkpoint signaling,,,IBA,PTN001801959 ,J:265628 
MGI:2445153,Clspn,claspin,4,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q9HAW4 ,J:164563 
MGI:2388633,Cltc,clathrin heavy chain,11,,mitotic cell cycle,,,IBA,PTN002568816 ,J:265628 
MGI:2388633,Cltc,clathrin heavy chain,11,,mitotic cell cycle,,,ISO,RGD:2364 ,J:155856 
MGI:2388633,Cltc,clathrin heavy chain,11,,mitotic cell cycle,,,ISO,Q00610 ,J:164563 
MGI:2388633,Cltc,clathrin heavy chain,11,,mitotic spindle assembly,,,ISO,Q49AL0 ,J:137631 
MGI:2388633,Cltc,clathrin heavy chain,11,,regulation of mitotic spindle organization,,,ISO,Q00610 ,J:164563 
MGI:2443290,Cntrob,"centrobin, centrosomal BRCA2 interacting protein",11,,mitotic cytokinetic process,,,IBA,PTN002438084 ,J:265628 
MGI:2443290,Cntrob,"centrobin, centrosomal BRCA2 interacting protein",11,,mitotic cytokinetic process,,,ISO,Q8N137 ,J:164563 
MGI:1859328,Cpsf3,cleavage and polyadenylation specificity factor 3,12,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,Q9UKF6 ,J:164563 
MGI:1336168,Cradd,CASP2 and RIPK1 domain containing adaptor with death domain,10,,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",,,IBA,PTN000385750 ,J:265628 
MGI:1336168,Cradd,CASP2 and RIPK1 domain containing adaptor with death domain,10,,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",,,ISO,P78560 ,J:164563 
MGI:1347062,Creb3l1,cAMP responsive element binding protein 3-like 1,2,,mitotic G2 DNA damage checkpoint signaling,,,IDA,,J:336734 
MGI:1098280,Crebbp,CREB binding protein,16,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,RGD:2401 ,J:155856 
MGI:1860086,Crlf3,cytokine receptor-like factor 3,11,,negative regulation of G1/S transition of mitotic cell cycle,,,ISO,Q8IUI8 ,J:164563 
MGI:1916214,Ctc1,CTS telomere maintenance complex component 1,11,,regulation of G2/M transition of mitotic cell cycle,,,IMP,MGI:5427642 ,J:184809 
MGI:1926953,Ctdp1,CTD phosphatase subunit 1,18,,exit from mitosis,,,ISO,Q9Y5B0 ,J:164563 
MGI:2654470,Ctdsp1,CTD small phosphatase 1,1,,negative regulation of G1/S transition of mitotic cell cycle,,,IDA,,J:197728 
MGI:1098748,Ctdsp2,CTD small phosphatase 2,10,,negative regulation of G1/S transition of mitotic cell cycle,,,IDA,,J:197728 
MGI:1916524,Ctdspl,CTD small phosphatase like,9,,negative regulation of G1/S transition of mitotic cell cycle,,,IDA,,J:197728 
MGI:88276,Ctnnb1,catenin beta 1,9,,"negative regulation of mitotic cell cycle, embryonic",,,IMP,,J:169444 
MGI:1860262,Cts7,cathepsin 7,13,,mitotic cell cycle,happens in extraembryonic component,,IMP,,J:138768 
MGI:1860262,Cts7,cathepsin 7,13,,negative regulation of mitotic cell cycle,negatively regulates mitotic cell cycle,,IMP,,J:138768 
MGI:1347360,Cul3,cullin 3,1,,mitotic cell cycle,,,IMP,MGI:3714267 ,J:122228 
MGI:1347360,Cul3,cullin 3,1,,mitotic metaphase chromosome alignment,,,ISO,Q13618 ,J:164563 
MGI:1347360,Cul3,cullin 3,1,,positive regulation of mitotic cell cycle phase transition,,,ISO,Q13618 ,J:164563 
MGI:1347360,Cul3,cullin 3,1,,positive regulation of mitotic metaphase/anaphase transition,,,ISO,Q13618 ,J:164563 
MGI:1914487,Cul4a,cullin 4A,8,,positive regulation of G1/S transition of mitotic cell cycle,,,IMP,,J:142037 
MGI:1919834,Cul4b,cullin 4B,X,,positive regulation of G1/S transition of mitotic cell cycle,,,IMP,,J:142037 
MGI:1913765,Cul7,cullin 7,17,,mitotic cytokinesis,,,ISO,Q14999 ,J:164563 
MGI:1913765,Cul7,cullin 7,17,,regulation of mitotic nuclear division,,,ISO,Q14999 ,J:164563 
MGI:1925559,Cul9,cullin 9,17,,regulation of mitotic nuclear division,,,ISO,Q8IWT3 ,J:164563 
MGI:1921506,Cyld,CYLD lysine 63 deubiquitinase,8,,regulation of mitotic cell cycle,,,IBA,PTN002625528 ,J:265628 
MGI:1921506,Cyld,CYLD lysine 63 deubiquitinase,8,,regulation of mitotic cell cycle,,,ISO,Q9NQC7 ,J:164563 
MGI:88588,Cyp1a1,"cytochrome P450, family 1, subfamily a, polypeptide 1",9,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,RGD:2458 ,J:155856 
MGI:91842,D1Pas1,"DNA segment, Chr 1, Pasteur Institute 1",1,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,O00571 ,J:164563 
MGI:1196431,D7Ertd443e,"DNA segment, Chr 7, ERATO Doi 443, expressed",7,,mitotic G2 DNA damage checkpoint signaling,,,IDA,,J:160788 
MGI:1891740,Dact1,dishevelled-binding antagonist of beta-catenin 1,12,,negative regulation of G1/S transition of mitotic cell cycle,,,ISO,Q9NYF0 ,J:164563 
MGI:1203520,Dapk3,death-associated protein kinase 3,10,,regulation of mitotic cell cycle,,,ISO,O43293 ,J:164563 
MGI:1197015,Daxx,Fas death domain-associated protein,17,,mitotic cytokinesis,,,IMP,MGI:3051780 ,J:91881 
MGI:1351328,Dbf4,DBF4 zinc finger,5,,traversing start control point of mitotic cell cycle,,,ISA,CAA89082 ,J:68181 
MGI:107745,Dctn1,dynactin 1,6,,establishment of mitotic spindle orientation,,,IBA,PTN000431881 ,J:265628 
MGI:107745,Dctn1,dynactin 1,6,,establishment of mitotic spindle orientation,,,ISO,Q14203 ,J:164563 
MGI:107745,Dctn1,dynactin 1,6,,regulation of mitotic spindle organization,,,ISO,Q14203 ,J:164563 
MGI:107733,Dctn2,dynactin 2,10,,mitotic metaphase chromosome alignment,,,ISO,Q13561 ,J:164563 
MGI:107733,Dctn2,dynactin 2,10,,mitotic spindle organization,,,IBA,PTN000394123 ,J:265628 
MGI:107733,Dctn2,dynactin 2,10,,mitotic spindle organization,,,ISO,Q13561 ,J:164563 
MGI:1343154,Dctn6,dynactin 6,8,,mitotic spindle organization,,,IBA,PTN000317267 ,J:265628 
MGI:1343154,Dctn6,dynactin 6,8,,mitotic spindle organization,,,IDA,,J:195306 
MGI:2679003,Dcun1d3,defective in cullin neddylation 1 domain containing 3,7,,negative regulation of G1/S transition of mitotic cell cycle,,,ISO,Q8IWE4 ,J:164563 
MGI:1202384,Ddb1,damage specific DNA binding protein 1,19,,regulation of mitotic cell cycle phase transition,,,ISO,Q16531 ,J:164563 
MGI:1345277,Ddr2,"discoidin domain receptor family, member 2",1,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,RGD:619855 ,J:155856 
MGI:103064,Ddx3x,"DEAD box helicase 3, X-linked",X,,positive regulation of G1/S transition of mitotic cell cycle,,,ISO,O00571 ,J:164563 
MGI:1278339,Dgkz,diacylglycerol kinase zeta,2,,mitotic G1 DNA damage checkpoint signaling,,,ISO,Q13574 ,J:164563 
MGI:1278339,Dgkz,diacylglycerol kinase zeta,2,,negative regulation of mitotic cell cycle,,,ISO,Q13574 ,J:164563 
MGI:2442555,Dis3l2,DIS3 like 3'-5' exoribonuclease 2,1,,mitotic cell cycle,,,ISO,Q8IYB7 ,J:164563 
MGI:2442555,Dis3l2,DIS3 like 3'-5' exoribonuclease 2,1,,mitotic sister chromatid separation,,,ISO,Q8IYB7 ,J:164563 
MGI:107231,Dlg1,discs large MAGUK scaffold protein 1,16,,negative regulation of G1/S transition of mitotic cell cycle,,,ISO,Q12959 ,J:164563 
MGI:2183453,Dlgap5,DLG associated protein 5,14,,mitotic spindle organization,,,IBA,PTN004353019 ,J:265628 
MGI:2183453,Dlgap5,DLG associated protein 5,14,,regulation of mitotic cell cycle,,,IBA,PTN004353019 ,J:265628 
MGI:1354733,Dmrt1,doublesex and mab-3 related transcription factor 1,19,,positive regulation of mitotic nuclear division,,,IMP,,J:166057 
MGI:2443732,Dna2,DNA replication helicase/nuclease 2,10,,mitotic telomere maintenance via semi-conservative replication,,,IMP,,J:198831 
MGI:1890621,Donson,downstream neighbor of SON,16,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q9NYP3 ,J:164563 
MGI:1352748,Dpf1,double PHD fingers 1,7,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1352748,Dpf1,double PHD fingers 1,7,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:109529,Dpf2,double PHD fingers 2,19,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:109529,Dpf2,double PHD fingers 2,19,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:319964 
MGI:1917377,Dpf3,double PHD fingers 3,12,,regulation of G1/S transition of mitotic cell cycle,,,NAS,,J:320113 
MGI:1917377,Dpf3,double PHD fingers 3,12,,regulation of mitotic metaphase/anaphase transition,,,NAS,,J:198738 
MGI:94925,Drd3,dopamine receptor D3,16,,positive regulation of mitotic nuclear division,,,ISO,RGD:2521 ,J:155856 
MGI:1343297,Drg1,developmentally regulated GTP binding protein 1,11,,regulation of mitotic spindle assembly,,,ISO,Q9Y295 ,J:164563 
MGI:1914184,Dsn1,"DSN1 homolog, MIS12 kinetochore complex component",2,,mitotic sister chromatid segregation,,,IBA,PTN001804338 ,J:265628 
MGI:1924093,Dtl,denticleless E3 ubiquitin protein ligase,1,,mitotic G2 DNA damage checkpoint signaling,,,IBA,PTN000523288 ,J:265628 
MGI:1924093,Dtl,denticleless E3 ubiquitin protein ligase,1,,mitotic G2 DNA damage checkpoint signaling,,,ISO,Q9NZJ0 ,J:164563 
MGI:1924093,Dtl,denticleless E3 ubiquitin protein ligase,1,,positive regulation of G2/M transition of mitotic cell cycle,,,ISO,Q9NZJ0 ,J:164563 
MGI:1919599,Dusp3,dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related),11,,positive regulation of mitotic cell cycle,,,IBA,PTN000017220 ,J:265628 
MGI:1919599,Dusp3,dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related),11,,positive regulation of mitotic cell cycle,,,ISO,P51452 ,J:164563 
MGI:103147,Dync1h1,dynein cytoplasmic 1 heavy chain 1,12,,mitotic spindle organization,,,IBA,PTN000072732 ,J:265628 
MGI:103147,Dync1h1,dynein cytoplasmic 1 heavy chain 1,12,,regulation of mitotic spindle organization,,,ISO,Q14204 ,J:164563 
MGI:2135610,Dync1li1,dynein cytoplasmic 1 light intermediate chain 1,9,,positive regulation of mitotic cell cycle spindle assembly checkpoint,,,ISO,Q9Y6G9 ,J:164563 
MGI:98643,Dynlt1b,dynein light chain Tctex-type 1B,17,,establishment of mitotic spindle orientation,,,IMP,,J:233945 
